11/21/2024                                                                                                                                                                                             Dynamic List Display                                                                                                                                                                                                    1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTL Direct Material Stock Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Material,Material,Customer,Material description,Size,Unit/Strip,Plant,SLOC,Batch,Extend Shelf life,Number Extend,Revision,Shipment Date,Shipment,Ship No.,X-Out,Vendor Batch,Manu.Date,Shlf.Date,GR.Date,Vendor,Vendor Name,QI.Qty.,Unres.Qty.,Reserve Qty.,Available Qty.,Block Qty.,     Total,Remark,AUn,Conversion1,Manufacturer
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GZ0039-UTL,GZ0039,UTL,R TYPE 0.8 MIL,0.8 MIL R TYPE,,120,TFER,12356832,,0,,11/13/2024,V24A4345/01 (3000),131124V24A4345/01 (3000),,R24B111,11/11/2024,11/11/2025,11/13/2024,20011,"M K ELECTRON CO.,LTD",0,"27,000.00",0,"27,000.00",0,"27,000.00",,KM,1000 M = 1 KM,
,GZ0047-ADI,GZ0047,ADI,TYPE 4NB 2.0 MIL,2.0 MIL 4NB TYPE,,120,RP10,11593813,,0,,11/01/2023,AUW/235712/01 (200M),011123AUW/235712/01 (200M),,M23X0483,10/25/2023,10/25/2024,11/01/2023,20018,TANAKA KIKINZOKU (SINGAPORE),0,0,0,0,200,200,,KM,1000 M = 1 KM,
,GZ0047-ADI,GZ0047,ADI,TYPE 4NB 2.0 MIL,2.0 MIL 4NB TYPE,,120,DA09,11817498,,0,,02/28/2024,AUW/241121/01 (200M),280224AUW/241121/01 (200M),,M2420433,02/22/2024,02/22/2025,02/28/2024,20018,TANAKA KIKINZOKU (SINGAPORE),0,200,0,200,0,200,,KM,1000 M = 1 KM,
,GZ0053-STM,GZ0053,STM,GPK TYPE 1.2 MILS 3NA 200M/ROLL,1.2 MIL 3NA GPK TYPE,,120,RP10,11467954,,0,,09/07/2023,AUW/234667/01 (1000M),070923AUW/234667/01 (1000M),,M2390044,09/04/2023,09/04/2024,09/07/2023,20018,TANAKA KIKINZOKU (SINGAPORE),0,0,0,0,"1,000.00","1,000.00",,KM,1000 M = 1 KM,
,GZ0057-NP3,GZ0057,NP3,TYPE GPG 0.8 MIL (500M/ROLL),0.8 MIL,,120,RP10,10263087,,0,,06/09/2022,AUW/223237/01 (500M),090622AUW/223237/01 (500M),,M2260064,06/02/2022,06/02/2023,06/10/2022,20018,TANAKA KIKINZOKU (SINGAPORE),0,0,0,0,500,500,,KM,1000 M = 1 KM,-
,GZ0057-NP3,GZ0057,NP3,TYPE GPG 0.8 MIL (500M/ROLL),0.8 MIL,,120,RP10,10375201,,0,,07/20/2022,AUW/224060/01 (500M),200722AUW/224060/01 (500M),,M2270273,07/16/2022,07/16/2023,07/20/2022,20018,TANAKA KIKINZOKU (SINGAPORE),0,0,0,0,"2,500.00","2,500.00",,KM,1000 M = 1 KM,
,GZ0057-NP3,GZ0057,NP3,TYPE GPG 0.8 MIL (500M/ROLL),0.8 MIL,,120,DA09,11793540,,0,,02/16/2024,AUW/240916/01 (500M),160224AUW/240916/01 (500M),,M2420209,02/13/2024,02/13/2025,02/16/2024,20018,TANAKA KIKINZOKU (SINGAPORE),0,"1,000.00",0,"1,000.00",0,"1,000.00",,KM,1000 M = 1 KM,
,GZ0061-UTL,GZ0061,UTL,0.7 mil Au 2N GPH Tanaka,0.7 MIL,,120,RP10,10852739,,0,,01/06/2023,AUW/230058/01 (500M),060123AUW/230058/01 (500M),,M22Z0502,12/30/2022,10/05/2024,01/09/2023,20018,TANAKA KIKINZOKU (SINGAPORE),0,0,"2,000.00","-2,000.00","9,500.00","9,500.00",,KM,,
,GZ0061-UTL,GZ0061,UTL,0.7 mil Au 2N GPH Tanaka,0.7 MIL,,120,DA09,12330393,,0,,10/30/2024,AUW/246182/01 (1000),301024AUW/246182/01 (1000),,M24X0511,10/24/2024,10/24/2025,10/30/2024,20018,TANAKA KIKINZOKU (SINGAPORE),0,"2,000.00",0,"2,000.00",0,"2,000.00",,KM,,
,GZ0064-BO1,GZ0064,BO1,0.6 mils Au 2N GPH TANAKA,0.6 MIL,,120,DA09,11691213,,0,,12/20/2023,AUW/236632/01 (2000M),201223AUW/236632/01 (2000M),,M23Z0309,12/18/2023,12/18/2024,12/20/2023,20018,TANAKA KIKINZOKU (SINGAPORE),0,"4,000.00",0,"4,000.00",0,"4,000.00",,KM,1000 M = 1 KM,
